	corpus	piece	corpus_id	piece_id	corpus_year	piece_year	period	globalkey	localkey	ILC	OLC	ILD
196	monteverdi_madrigals	5-05c	2	19	1609.1691322587767	1605	Renaissance	g	#vi	1.6	0.0	0.24000000000000005
197	monteverdi_madrigals	5-05c	2	19	1609.1691322587767	1605	Renaissance	g	ii	1.6666666666666667	0.5	0.1
198	monteverdi_madrigals	5-05c	2	19	1609.1691322587767	1605	Renaissance	g	v	0.8571428571428571	0.0	0.06714285714285714
199	monteverdi_madrigals	5-05c	2	19	1609.1691322587767	1605	Renaissance	g	i	2.0	0.0	0.15526315789473685
200	monteverdi_madrigals	5-06	2	20	1609.1691322587767	1605	Renaissance	g	i	0.7777777777777778	0.0	0.030555555555555558
201	monteverdi_madrigals	5-06	2	20	1609.1691322587767	1605	Renaissance	g	v	0.7272727272727273	0.09090909090909091	0.13611111111111113
202	monteverdi_madrigals	5-06	2	20	1609.1691322587767	1605	Renaissance	g	i	0.75	0.0	0.011111111111111112
203	monteverdi_madrigals	5-06	2	20	1609.1691322587767	1605	Renaissance	g	IV	0.5	0.0	0.08888888888888889
204	monteverdi_madrigals	5-06	2	20	1609.1691322587767	1605	Renaissance	g	i	0.8444444444444444	0.022222222222222223	0.1416666666666667
205	monteverdi_madrigals	5-06	2	20	1609.1691322587767	1605	Renaissance	g	IV	0.0	0.2	0.1111111111111111
206	monteverdi_madrigals	5-06	2	20	1609.1691322587767	1605	Renaissance	g	i	0.7142857142857143	0.0	0.02291666666666667
207	monteverdi_madrigals	5-06	2	20	1609.1691322587767	1605	Renaissance	g	VII	0.0	0.0	0.20000000000000004
208	monteverdi_madrigals	5-06	2	20	1609.1691322587767	1605	Renaissance	g	v	0.42857142857142855	0.0	0.09166666666666667
209	monteverdi_madrigals	5-06	2	20	1609.1691322587767	1605	Renaissance	g	i	0.7142857142857143	0.0	0.02291666666666667
210	monteverdi_madrigals	5-07	2	21	1609.1691322587767	1605	Renaissance	g	i	0.5	0.0	0.021428571428571432
211	monteverdi_madrigals	5-07	2	21	1609.1691322587767	1605	Renaissance	g	v	0.375	0.125	0.047058823529411764
212	monteverdi_madrigals	5-07	2	21	1609.1691322587767	1605	Renaissance	g	i	1.0	0.08333333333333333	0.1107125
213	monteverdi_madrigals	5-07	2	21	1609.1691322587767	1605	Renaissance	g	IV	0.0	0.0	0.07272727272727274
