	corpus	piece	corpus_year	piece_year	period_Fabian	period_Johannes	globalkey	localkey_mode	max_WL	min_WL	max_OL	min_OL	WLC	OLC	WL_5th_range	OL_5th_range	corpus_id	piece_id	WLC_percentage	OLC_percentage
338	corelli	op04n03a	1687.6864702945581	1694	Baroque	Baroque	A	major	8	-1	5	0	0.07954545454545454	0.0	9	5	6	241	1.0	0.0
339	corelli	op04n03b	1687.6864702945581	1694	Baroque	Baroque	A	major	8	-1	6	-1	0.1511627906976744	0.011627906976744186	9	7	6	242	0.9285714285714286	0.07142857142857144
340	corelli	op04n03c	1687.6864702945581	1694	Baroque	Baroque	A	major	8	-1	8	-1	0.16666666666666666	0.1388888888888889	9	9	6	243	0.5454545454545454	0.45454545454545453
341	corelli	op04n03d	1687.6864702945581	1694	Baroque	Baroque	A	major	6	-1	4	0	0.030612244897959183	0.0	7	4	6	244	1.0	0.0
343	corelli	op04n04a	1687.6864702945581	1694	Baroque	Baroque	D	major	8	-1	5	-2	0.09090909090909091	0.015151515151515152	9	7	6	245	0.8571428571428571	0.14285714285714285
344	corelli	op04n04b	1687.6864702945581	1694	Baroque	Baroque	D	major	6	-1	5	0	0.04285714285714286	0.0	7	5	6	246	1.0	0.0
347	corelli	op04n04c	1687.6864702945581	1694	Baroque	Baroque	b	major	5	-1	0	0	0.0	0.0	6	0	6	247	0.0	0.0
348	corelli	op04n04d	1687.6864702945581	1694	Baroque	Baroque	D	major	9	-1	6	-1	0.19791666666666666	0.03125	10	7	6	248	0.8636363636363636	0.13636363636363638
351	corelli	op04n05a	1687.6864702945581	1694	Baroque	Baroque	a	major	5	-1	0	-1	0.0	0.0	6	1	6	249	0.0	0.0
353	corelli	op04n05b	1687.6864702945581	1694	Baroque	Baroque	a	major	9	-2	6	0	0.5625	0.0625	11	6	6	250	0.9	0.1
355	corelli	op04n05c	1687.6864702945581	1694	Baroque	Baroque	a	major	5	-1	5	-1	0.0	0.0	6	6	6	251	0.0	0.0
