	corpus	piece	corpus_year	piece_year	period_Fabian	period_Johannes	globalkey	localkey	localkey_mode	WLC	OLC	corpus_id	piece_id
173	monteverdi_madrigals	5-04e	1609.1691322587767	1605	Renaissance	pre-Baroque	g	v	minor	0.7368421052631579	0.0	2	17
174	monteverdi_madrigals	5-04e	1609.1691322587767	1605	Renaissance	pre-Baroque	g	i	minor	0.4375	0.0625	2	17
175	monteverdi_madrigals	5-05b	1609.1691322587767	1605	Renaissance	pre-Baroque	g	i	minor	1.2	0.0	2	18
176	monteverdi_madrigals	5-05b	1609.1691322587767	1605	Renaissance	pre-Baroque	g	III	major	0.0	0.07692307692307693	2	18
177	monteverdi_madrigals	5-05b	1609.1691322587767	1605	Renaissance	pre-Baroque	g	i	minor	0.9411764705882353	0.23529411764705882	2	18
178	monteverdi_madrigals	5-05b	1609.1691322587767	1605	Renaissance	pre-Baroque	g	VII	major	0.0	0.0	2	18
179	monteverdi_madrigals	5-05b	1609.1691322587767	1605	Renaissance	pre-Baroque	g	v	minor	0.3	0.0	2	18
180	monteverdi_madrigals	5-05b	1609.1691322587767	1605	Renaissance	pre-Baroque	g	i	minor	1.1875	0.0	2	18
181	monteverdi_madrigals	5-05b	1609.1691322587767	1605	Renaissance	pre-Baroque	g	v	minor	0.5454545454545454	0.0	2	18
182	monteverdi_madrigals	5-05b	1609.1691322587767	1605	Renaissance	pre-Baroque	g	i	minor	0.9230769230769231	0.0	2	18
183	monteverdi_madrigals	5-05c	1609.1691322587767	1605	Renaissance	pre-Baroque	g	i	minor	0.0	0.5	2	19
184	monteverdi_madrigals	5-05c	1609.1691322587767	1605	Renaissance	pre-Baroque	g	IV	major	0.0	0.0	2	19
185	monteverdi_madrigals	5-05c	1609.1691322587767	1605	Renaissance	pre-Baroque	g	i	minor	1.2	0.0	2	19
186	monteverdi_madrigals	5-05c	1609.1691322587767	1605	Renaissance	pre-Baroque	g	v	minor	1.1111111111111112	0.1111111111111111	2	19
187	monteverdi_madrigals	5-05c	1609.1691322587767	1605	Renaissance	pre-Baroque	g	VII	major	0.0	0.125	2	19
188	monteverdi_madrigals	5-05c	1609.1691322587767	1605	Renaissance	pre-Baroque	g	I	major	0.1111111111111111	0.0	2	19
189	monteverdi_madrigals	5-05c	1609.1691322587767	1605	Renaissance	pre-Baroque	g	v	minor	1.6666666666666667	0.0	2	19
190	monteverdi_madrigals	5-05c	1609.1691322587767	1605	Renaissance	pre-Baroque	g	III	major	0.3	0.1	2	19
191	monteverdi_madrigals	5-05c	1609.1691322587767	1605	Renaissance	pre-Baroque	g	IV	major	0.1111111111111111	0.0	2	19
192	monteverdi_madrigals	5-05c	1609.1691322587767	1605	Renaissance	pre-Baroque	g	i	minor	2.0	0.0	2	19
193	monteverdi_madrigals	5-05c	1609.1691322587767	1605	Renaissance	pre-Baroque	g	I	major	0.07692307692307693	0.07692307692307693	2	19
194	monteverdi_madrigals	5-05c	1609.1691322587767	1605	Renaissance	pre-Baroque	g	V	major	0.23333333333333334	0.0	2	19
195	monteverdi_madrigals	5-05c	1609.1691322587767	1605	Renaissance	pre-Baroque	g	ii	minor	1.2	0.0	2	19
196	monteverdi_madrigals	5-05c	1609.1691322587767	1605	Renaissance	pre-Baroque	g	#vi	minor	1.6	0.0	2	19
197	monteverdi_madrigals	5-05c	1609.1691322587767	1605	Renaissance	pre-Baroque	g	ii	minor	1.6666666666666667	0.5	2	19
198	monteverdi_madrigals	5-05c	1609.1691322587767	1605	Renaissance	pre-Baroque	g	v	minor	0.8571428571428571	0.0	2	19
199	monteverdi_madrigals	5-05c	1609.1691322587767	1605	Renaissance	pre-Baroque	g	i	minor	2.0	0.0	2	19
200	monteverdi_madrigals	5-06	1609.1691322587767	1605	Renaissance	pre-Baroque	g	i	minor	0.7777777777777778	0.0	2	20
201	monteverdi_madrigals	5-06	1609.1691322587767	1605	Renaissance	pre-Baroque	g	v	minor	0.7272727272727273	0.09090909090909091	2	20
202	monteverdi_madrigals	5-06	1609.1691322587767	1605	Renaissance	pre-Baroque	g	i	minor	0.75	0.0	2	20
203	monteverdi_madrigals	5-06	1609.1691322587767	1605	Renaissance	pre-Baroque	g	IV	major	0.5	0.0	2	20
204	monteverdi_madrigals	5-06	1609.1691322587767	1605	Renaissance	pre-Baroque	g	i	minor	0.8444444444444444	0.022222222222222223	2	20
205	monteverdi_madrigals	5-06	1609.1691322587767	1605	Renaissance	pre-Baroque	g	IV	major	0.0	0.2	2	20
