	Unnamed: 0	corpus	piece	corpus_year	piece_year	globalkey	localkey	max_root	min_root	max_ct	min_ct	max_nct	min_nct	tones_in_span	tones_in_span_in_C	root	RC	ct	CTC	nct	NCTC	r_fifths_range	ct_fifths_range	nct_fifths_range	corpus_id	piece_id	mode
80	80	kleine_geistliche_konzerte	op08n03swv284_Ich_danke_dem_Herrn_von_ganzem_Herzen	1637.9308224442736	1636	g	i	3.0	-11.0	7	-10	5	-4	[0]	[[1]]	0.0	0.2194092827004219	[-3, 1]	1.1139240506329111	[]	0.080168776371308	14.0	17	9	5	81	minor
81	81	kleine_geistliche_konzerte	op08n04swv285_O_süsser,_o_freundlicher	1637.9308224442736	1636	g	i	5.0	-11.0	7	-10	5	-4	[-3]	[[-2], [-2]]	-3.0	0.3316062176165803	[1, -2]	1.1761658031088082	[]	0.0725388601036269	16.0	17	9	5	82	minor
83	83	kleine_geistliche_konzerte	op08n06swv287_O_lieber_Herre_Gott	1637.9308224442736	1636	g	i	5.0	-11.0	7	-10	6	-5	[0, 2, -3]	[[1, 1], [1], [1], [3], [-2]]	0.0	0.4120603015075377	[-3, 1]	1.0804020100502512	[2]	0.185929648241206	16.0	17	11	5	84	minor
85	85	kleine_geistliche_konzerte	op08n08swv289_Erhöre_mich,_wenn_ich_rufe	1637.9308224442736	1636	e	i	5.0	-4.0	6	-5	3	-4	[-3, -2, 0]	[[4, 4], [4], [1], [2]]	0.0	0.109375	[-3, 1]	0.375	[-2]	0.015625	9.0	11	7	5	86	minor
86	86	kleine_geistliche_konzerte	op08n09swv290_Wohl_dem,_der_nicht_wandelt_im_Rat_der_Gottlosen	1637.9308224442736	1636	g	i	5.0	-4.0	7	-7	5	-5	[0, 1]	[[1], [1], [2]]	0.0	0.0743801652892562	[-3, 1]	0.7024793388429752	[]	0.1198347107438016	9.0	14	10	5	87	minor
91	91	kleine_geistliche_konzerte	op08n14swv295_O_hilf,_Christe_Gottes_Sohn	1637.9308224442736	1636	a	i	5.0	-5.0	5	-7	2	-4	[0, 1]	[[3, 4], [3, 4]]	0.0	0.0330578512396694	[-3, 1]	0.8512396694214877	[]	0.0	10.0	12	6	5	92	minor
92	92	kleine_geistliche_konzerte	op08n15swv296_Fürchte_dich_nicht	1637.9308224442736	1636	d	i	3.0	-4.0	6	-4	3	-3	[0]	[[2, 2], [2, 2]]	0.0	0.0059880239520958	[-3, 1]	0.8502994011976048	[]	0.0419161676646706	7.0	10	6	5	93	minor
93	93	kleine_geistliche_konzerte	op08n16swv297_O_Herr_hilf	1637.9308224442736	1636	g	i	5.0	-4.0	6	-7	4	-4	[0, 2]	[[1], [1], [3]]	0.0	0.1117647058823529	[-3, 1]	0.5764705882352941	[2]	0.0470588235294117	9.0	13	8	5	94	minor
94	94	kleine_geistliche_konzerte	op08n18swv299_Die_Gottseligkeit_ist_zu_allen_Dingen_nütz	1637.9308224442736	1636	e	i	4.0	-5.0	5	-5	3	-1	[0, 1]	[[4], [5], [5]]	0.0	0.1095890410958904	[-3, 1]	0.3561643835616438	[]	0.0136986301369863	9.0	10	4	5	95	minor
95	95	kleine_geistliche_konzerte	op08n19swv300_Himmel_und_Erde_vergehen	1637.9308224442736	1636	g	i	2.0	-4.0	6	-4	3	-3	[0]	[[1, 1]]	0.0	0.0	[-3, 1]	0.3736263736263736	[]	0.1758241758241758	6.0	10	6	5	96	minor
96	96	kleine_geistliche_konzerte	op08n20swv301_Nun_komm_der_Heiden_Heiland	1637.9308224442736	1636	g	i	5.0	-4.0	6	-7	3	-4	[0, 2]	[[1], [1, 1], [3]]	0.0	0.1212121212121212	[-3, 1]	0.6484848484848484	[2]	0.0787878787878787	9.0	13	7	5	97	minor
98	98	kleine_geistliche_konzerte	op08n22swv303_Wir_glauben_all_an_einen_Gott	1637.9308224442736	1636	d	i	6.0	-4.0	6	-4	5	-4	[0]	[[2, 2]]	0.0	0.1245551601423487	[-3, 1]	0.8078291814946619	[]	0.0747330960854092	10.0	10	9	5	99	minor
